,0
0,"Genre
SIMULATION"
1,"Genre
STRATEGY"
2,"Genre
--"
3,"Genre
ACTION"
4,"Genre
DEFI"
5,error
6,"Genre
--"
7,"Genre
RPG"
8,error
9,error
10,error
11,"Genre
--"
12,"Genre
--"
13,"Genre
--"
14,"Genre
--"
15,"Genre
--"
16,"Genre
RPG"
17,"Genre
--"
18,error
19,error
20,error
21,error
22,error
23,"Genre
--"
24,"Genre
Strategy Game"
25,"Genre
--"
26,"Genre
DEFI"
27,"Genre
--"
28,"Genre
RPG game"
29,"Genre
--"
30,"Genre
--"
31,"Genre
--"
32,"Genre
NFT game"
33,"Genre
MMO Strategy game"
34,"Genre
--"
35,"Genre
MMORPG"
36,"Genre
--"
37,error
38,"Genre
--"
39,"Genre
PVP"
40,"Genre
--"
41,"Genre
--"
42,"Genre
--"
43,"Genre
--"
44,"Genre
MOBA"
45,"Genre
--"
46,"Genre
--"
47,"Genre
--"
48,"Genre
PVP"
49,"Genre
Game Creation System / Massively Multiplayer Online / Metaverse"
50,"Genre
NFT game-card"
51,"Genre
--"
52,"Genre
--"
53,"Genre
--"
54,"Genre
Automobile Sim"
55,"Genre
--"
56,"Genre
--"
57,"Genre
--"
58,"Genre
RPG"
59,"Genre
--"
60,"Genre
--"
61,"Genre
Sci-fi action strategy NFT game"
62,"Genre
--"
63,"Genre
--"
64,"Genre
--"
65,"Genre
RACING"
66,"Genre
RPG game"
67,"Genre
--"
68,"Genre
--"
69,"Genre
--"
70,"Genre
DIGITAL CARD GAME"
71,"Genre
Strategy MMO"
72,"Genre
--"
73,"Genre
ACTION"
74,"Genre
MMO"
75,"Genre
--"
76,error
77,error
78,error
79,"Genre
--"
80,"Genre
DEFI"
81,"Genre
DEFI"
82,"Genre
ACTION GAME"
83,"Genre
COLLECTIBLE"
84,"Genre
--"
85,"Genre
--"
86,"Genre
RPG game"
87,"Genre
--"
88,"Genre
--"
89,"Genre
--"
90,"Genre
TURN-BASED"
91,"Genre
STRATEGY"
92,"Genre
--"
93,"Genre
--"
94,"Genre
--"
95,"Genre
--"
96,"Genre
--"
97,"Genre
--"
98,"Genre
--"
99,"Genre
NFT game-socialfi"
100,"Genre
--"
101,"Genre
--"
102,"Genre
--"
103,"Genre
--"
104,"Genre
SCI-FI"
105,"Genre
--"
106,"Genre
--"
107,error
108,"Genre
MMO Strategy game"
109,"Genre
--"
110,"Genre
--"
111,"Genre
MMOPRG"
112,"Genre
--"
113,"Genre
--"
114,"Genre
--"
115,"Genre
--"
116,error
117,"Genre
--"
118,"Genre
PVP"
119,"Genre
--"
120,"Genre
--"
121,"Genre
farm operations"
122,"Genre
RPG"
123,"Genre
--"
124,"Genre
--"
125,"Genre
--"
126,"Genre
--"
127,"Genre
--"
128,"Genre
--"
129,"Genre
--"
130,"Genre
--"
131,"Genre
--"
132,"Genre
CITY-BUILDING"
133,"Genre
--"
134,"Genre
AUTO-BATTLER"
135,"Genre
MMORPG"
136,"Genre
OpenGL racing game"
137,"Genre
--"
138,"Genre
--"
139,"Genre
MMORPG"
140,"Genre
--"
141,"Genre
--"
142,"Genre
--"
143,"Genre
--"
144,"Genre
--"
145,"Genre
--"
146,"Genre
--"
147,"Genre
--"
148,"Genre
ADVENTURE"
149,"Genre
--"
150,error
151,"Genre
--"
152,"Genre
--"
153,"Genre
BATTLE-ROYALE"
154,"Genre
--"
155,"Genre
--"
156,"Genre
MMORPG"
157,"Genre
--"
158,"Genre
ESPORTS"
159,"Genre
--"
160,"Genre
--"
161,"Genre
Crypto Royale"
162,"Genre
--"
163,"Genre
--"
164,"Genre
--"
165,"Genre
RPG game"
166,"Genre
RPG"
167,"Genre
--"
168,"Genre
--"
169,"Genre
NFTs and the 3D World"
170,"Genre
--"
171,"Genre
--"
172,"Genre
RACING"
173,"Genre
--"
174,"Genre
--"
175,"Genre
--"
176,"Genre
--"
177,"Genre
--"
178,"Genre
--"
179,"Genre
Idle Sci-Fi Game"
180,"Genre
--"
181,"Genre
--"
182,"Genre
--"
183,"Genre
--"
184,"Genre
PVP"
185,"Genre
RPG game"
186,"Genre
PVP"
187,"Genre
--"
188,"Genre
--"
189,"Genre
Idle Game"
190,"Genre
--"
191,"Genre
--"
192,"Genre
--"
193,"Genre
--"
194,"Genre
--"
195,"Genre
--"
196,"Genre
--"
197,"Genre
ACTION GAME"
198,"Genre
--"
199,"Genre
--"
200,error
201,error
202,"Genre
--"
203,"Genre
COLLECTIBLE"
204,"Genre
--"
205,"Genre
--"
206,"Genre
--"
207,"Genre
--"
208,"Genre
--"
209,"Genre
--"
210,"Genre
--"
211,"Genre
--"
212,"Genre
--"
213,"Genre
--"
214,"Genre
DEFI"
215,"Genre
--"
216,"Genre
--"
217,"Genre
MMORPG"
218,"Genre
--"
219,"Genre
--"
220,"Genre
--"
221,"Genre
--"
222,"Genre
--"
223,"Genre
--"
224,"Genre
single-player arcade-style adventure"
225,"Genre
--"
226,"Genre
--"
227,"Genre
--"
228,"Genre
--"
229,"Genre
--"
230,"Genre
--"
231,"Genre
--"
232,"Genre
--"
233,"Genre
--"
234,"Genre
--"
235,"Genre
--"
236,"Genre
ARPG"
237,"Genre
--"
238,"Genre
ADVENTURE"
239,"Genre
--"
240,"Genre
--"
241,"Genre
--"
242,"Genre
Rarity Farming"
243,"Genre
--"
244,"Genre
--"
245,"Genre
--"
246,"Genre
NFT game"
247,"Genre
--"
248,"Genre
ADVENTURE"
249,"Genre
--"
250,"Genre
--"
251,"Genre
--"
252,"Genre
--"
253,"Genre
--"
254,"Genre
--"
255,error
256,error
257,error
258,error
259,error
260,"Genre
TOWER-DEFENSE"
261,"Genre
--"
262,"Genre
--"
263,"Genre
multiplayer game"
264,"Genre
--"
265,"Genre
--"
266,"Genre
--"
267,"Genre
--"
268,error
269,"Genre
--"
270,"Genre
--"
271,"Genre
--"
272,"Genre
--"
273,"Genre
--"
274,"Genre
--"
275,"Genre
--"
276,"Genre
Open world"
277,"Genre
--"
278,"Genre
MOBA"
279,"Genre
--"
280,"Genre
--"
281,"Genre
Nyan Heroes is a third person shooter battle royale built on Solana."
282,"Genre
VIRTUAL-WORLD"
283,"Genre
--"
284,"Genre
--"
285,"Genre
--"
286,"Genre
--"
287,"Genre
COLLECTIBLE"
288,"Genre
ADVENTURE"
289,"Genre
--"
290,"Genre
RPG game"
291,"Genre
--"
292,"Genre
--"
293,"Genre
PVP"
294,"Genre
--"
295,"Genre
--"
296,"Genre
--"
297,"Genre
--"
298,"Genre
--"
299,"Genre
--"
300,"Genre
--"
301,"Genre
--"
